state,city,total_orders,total_customers,total_order_items,total_revenue,total_freight,average_order_value,average_freight_per_order,average_delivery_days,late_orders,late_delivery_rate_percent
PI,sao miguel do tapuio,2,2,2,465.0,59.54,232.5,29.77,5.4,0,0.0
RN,nova cruz,3,2,3,462.88,120.37,154.29,40.12,12.56,0,0.0
PR,rio bonito do iguacu,4,4,4,462.8,73.42,115.7,18.36,11.77,0,0.0
PR,areia branca dos assis,3,3,3,462.54,106.89,154.18,35.63,33.21,2,66.67
MG,santa maria de itabira,4,4,5,462.3,108.19,115.58,27.05,15.7,1,25.0
MG,sao joao da ponte,1,1,1,461.84,34.92,461.84,34.92,6.49,0,0.0
CE,granja,5,5,5,460.68,239.62,92.14,47.92,29.38,1,20.0
RS,nova petropolis,8,8,9,459.89,140.17,57.49,17.52,17.44,1,12.5
GO,itapirapua,2,2,2,459.8,35.54,229.9,17.77,15.29,0,0.0
MG,carmo da mata,6,6,6,459.7,118.91,76.62,19.82,11.76,0,0.0
SP,tupi paulista,6,6,8,459.41,117.79,76.57,19.63,9.42,0,0.0
MG,tumiritinga,1,1,1,459.0,21.31,459.0,21.31,6.31,0,0.0
SP,magda,2,2,2,458.99,37.08,229.5,18.54,6.81,0,0.0
MG,cabo verde,3,3,3,458.79,60.38,152.93,20.13,10.33,0,0.0
SP,cedral,6,6,6,458.34,82.01,76.39,13.67,14.65,1,16.67
MG,campos gerais,4,4,4,457.16,114.01,114.29,28.5,11.14,1,25.0
CE,trairi,2,2,3,457.0,86.53,228.5,43.27,22.55,0,0.0
MG,congonhal,4,4,4,455.84,112.35,113.96,28.09,11.92,0,0.0
RN,acu,2,2,3,455.59,97.86,227.8,48.93,23.49,0,0.0
MG,santa maria do suacui,2,2,2,454.9,62.85,227.45,31.42,19.39,0,0.0
PE,floresta,6,5,7,454.58,240.11,75.76,40.02,25.82,2,33.33
MG,cachoeira de minas,6,6,6,454.5,103.41,75.75,17.23,16.37,0,0.0
RS,entre-ijuis,3,3,4,454.5,98.02,151.5,32.67,9.58,0,0.0
MG,caputira,2,2,2,454.28,136.38,227.14,68.19,11.77,0,0.0
CE,icapui,5,5,5,454.25,157.34,90.85,31.47,22.4,0,0.0
CE,caririacu,2,2,2,454.0,65.14,227.0,32.57,11.76,0,0.0
MG,conquista,6,5,6,453.88,148.54,75.65,24.76,12.35,0,0.0
RS,sananduva,6,6,6,453.77,131.8,75.63,21.97,15.6,1,16.67
SP,ribeirao branco,2,2,2,452.99,62.5,226.5,31.25,15.03,1,50.0
SC,praia grande,4,4,4,452.74,84.18,113.19,21.05,16.46,0,0.0
RS,dom feliciano,5,5,7,452.05,183.9,90.41,36.78,13.15,0,0.0
BA,fatima,2,2,3,451.9,70.38,225.95,35.19,10.75,0,0.0
GO,cachoeira alta,6,6,7,451.76,153.72,75.29,25.62,12.31,0,0.0
GO,rianapolis,4,4,4,451.68,82.79,112.92,20.7,26.93,1,25.0
PA,vila dos cabanos,4,4,4,451.23,146.44,112.81,36.61,27.14,1,25.0
SC,sao martinho,2,2,2,451.0,38.99,225.5,19.49,10.39,0,0.0
CE,boa viagem,3,3,3,450.99,95.77,150.33,31.92,28.52,1,33.33
MA,tutoia,2,2,2,449.89,106.98,224.94,53.49,15.21,0,0.0
BA,pintadas,2,2,2,449.8,70.7,224.9,35.35,17.13,0,0.0
MT,dom aquino,3,3,3,449.8,70.56,149.93,23.52,15.63,0,0.0
RJ,engenheiro paulo de frontin,6,6,7,449.12,141.77,74.85,23.63,21.25,2,33.33
MG,itueta,2,2,3,448.89,60.05,224.44,30.02,20.68,0,0.0
BA,mutuipe,4,4,4,448.79,131.3,112.2,32.83,17.66,0,0.0
CE,baturite,3,3,3,447.97,103.12,149.32,34.37,15.45,0,0.0
SE,poco verde,4,4,4,447.8,241.51,111.95,60.38,24.25,1,25.0
RN,jardim do serido,3,3,3,445.9,109.91,148.63,36.64,21.18,0,0.0
PE,sao jose do egito,4,4,4,444.7,185.5,111.17,46.38,14.35,0,0.0
GO,bonfinopolis,2,2,4,441.87,70.73,220.94,35.36,19.22,0,0.0
SP,areias,3,3,6,441.86,126.77,147.29,42.26,13.45,0,0.0
PR,cruz machado,3,3,3,441.77,81.46,147.26,27.15,8.51,0,0.0
MG,limeira do oeste,2,2,3,441.7,60.73,220.85,30.37,27.97,0,0.0
PB,solanea,1,1,2,440.0,79.29,440.0,79.29,14.86,0,0.0
PB,rio tinto,2,2,2,439.9,50.35,219.95,25.18,30.0,1,50.0
BA,una,4,4,4,437.88,103.63,109.47,25.91,23.85,1,25.0
SP,dobrada,2,2,2,437.5,71.4,218.75,35.7,7.46,0,0.0
RO,ouro preto do oeste,4,4,4,437.49,280.99,109.37,70.25,18.36,0,0.0
MG,inhapim,7,7,7,436.35,129.0,62.34,18.43,11.2,0,0.0
RS,palmares do sul,5,4,5,435.77,82.63,87.15,16.53,13.85,0,0.0
SC,corupa,4,4,4,434.65,133.78,108.66,33.45,13.95,0,0.0
ES,apiaca,6,6,6,434.28,100.14,72.38,16.69,7.5,0,0.0
MG,minas novas,4,4,5,433.77,73.37,108.44,18.34,12.43,0,0.0
PR,bituruna,5,5,5,433.38,164.85,86.68,32.97,15.01,0,0.0
AL,pindoba,2,2,2,432.0,110.52,216.0,55.26,12.19,0,0.0
PR,cambira,2,2,3,432.0,87.35,216.0,43.67,15.29,0,0.0
PR,vera cruz do oeste,3,3,3,431.56,56.78,143.85,18.93,14.95,0,0.0
PR,kalore,2,2,2,429.99,133.97,215.0,66.98,14.59,0,0.0
RS,boa vista do cadeado,1,1,1,429.98,35.0,429.98,35.0,28.93,0,0.0
PR,araruna,4,4,4,429.97,125.1,107.49,31.27,16.84,0,0.0
RS,montauri,2,2,2,429.89,84.53,214.94,42.27,13.02,0,0.0
MG,ipiacu,3,3,3,429.88,104.21,143.29,34.74,11.01,0,0.0
MA,carolina,2,2,2,429.8,70.89,214.9,35.45,23.14,0,0.0
BA,arembepe,2,2,3,429.7,64.36,214.85,32.18,32.73,1,50.0
DF,taguatinga,4,3,9,429.1,145.34,107.28,36.34,10.6,0,0.0
PE,serrita,2,2,2,428.9,54.82,214.45,27.41,31.5,1,50.0
RS,nova palma,2,2,2,428.9,37.72,214.45,18.86,12.05,0,0.0
MG,cachoeira de pajeu,3,3,3,428.8,75.23,142.93,25.08,13.39,0,0.0
MS,bodoquena,2,1,2,428.0,67.53,214.0,33.77,14.03,0,0.0
SC,dionisio cerqueira,3,3,6,428.0,72.54,142.67,24.18,18.98,0,0.0
PE,sao joao,1,1,1,427.0,49.52,427.0,49.52,15.2,0,0.0
SP,ibirarema,5,5,5,426.88,71.31,85.38,14.26,8.77,0,0.0
MA,pinheiro,4,4,4,426.8,126.43,106.7,31.61,19.59,0,0.0
PR,santa isabel do ivai,3,3,3,425.9,52.7,141.97,17.57,9.37,0,0.0
BA,ibicarai,5,5,5,424.88,134.72,84.98,26.94,18.6,0,0.0
MA,alcantara,1,1,2,424.8,40.06,424.8,40.06,19.79,0,0.0
PR,sao pedro do ivai,3,3,3,424.74,121.98,141.58,40.66,14.46,0,0.0
SC,ponte serrada,3,3,3,423.9,59.88,141.3,19.96,13.56,0,0.0
BA,itabela,4,4,4,423.89,106.08,105.97,26.52,19.19,1,25.0
MG,gameleiras,3,3,3,423.89,106.05,141.3,35.35,9.15,0,0.0
MG,luminarias,3,3,3,423.8,44.88,141.27,14.96,15.03,0,0.0
ES,mantenopolis,4,4,4,423.79,79.23,105.95,19.81,8.37,0,0.0
MG,sao geraldo,4,4,5,423.78,124.03,105.94,31.01,9.86,0,0.0
SP,roseira,5,5,5,423.68,66.46,84.74,13.29,6.6,0,0.0
SC,nova veneza,3,3,3,422.89,48.01,140.96,16.0,30.04,2,66.67
SP,torrinha,6,5,6,422.67,96.75,70.45,16.13,15.12,1,16.67
PI,castelo do piaui,2,2,4,422.6,155.07,211.3,77.53,15.86,0,0.0
SP,pauliceia,2,2,5,421.27,74.85,210.63,37.42,16.54,0,0.0
SP,pedrinhas paulista,4,4,4,420.87,64.61,105.22,16.15,12.65,0,0.0
MG,maravilhas,4,4,4,420.81,95.55,105.2,23.89,7.88,0,0.0
CE,sao goncalo do amarante,5,5,5,420.77,100.17,84.15,20.03,19.97,1,20.0
MG,mato verde,3,2,6,420.43,230.88,140.14,76.96,7.9,0,0.0
SE,pinhao,1,1,1,420.0,49.47,420.0,49.47,37.18,1,100.0
BA,nazare,3,3,3,419.84,84.98,139.95,28.33,13.48,0,0.0
SE,poco redondo,1,1,2,419.8,126.98,419.8,126.98,9.1,0,0.0
GO,sanclerlandia,4,3,5,419.79,90.55,104.95,22.64,13.25,0,0.0
MT,cocalinho,4,4,6,418.87,157.69,104.72,39.42,18.1,0,0.0
SC,salto veloso,4,4,4,418.8,78.27,104.7,19.57,15.49,0,0.0
MG,cristalia,3,3,3,418.7,98.61,139.57,32.87,14.68,0,0.0
PR,rio branco do sul,6,6,6,418.57,108.15,69.76,18.03,12.49,0,0.0
MT,alto boa vista,5,3,9,418.0,163.99,83.6,32.8,17.6,0,0.0
BA,gandu,4,4,4,417.7,89.75,104.42,22.44,18.78,0,0.0
PE,caraiba,2,2,2,416.89,70.26,208.44,35.13,17.05,0,0.0
BA,baianopolis,2,2,2,416.3,76.98,208.15,38.49,30.77,0,0.0
MG,pedra azul,5,5,5,416.12,127.68,83.22,25.54,20.12,1,20.0
MG,palma,4,4,4,415.89,88.16,103.97,22.04,7.43,0,0.0
PE,jatoba,3,2,3,415.3,107.95,138.43,35.98,18.86,0,0.0
MG,martinho campos,2,2,2,415.2,58.5,207.6,29.25,7.66,0,0.0
MG,bandeira do sul,2,2,4,414.9,51.4,207.45,25.7,10.83,0,0.0
MG,irai de minas,2,2,2,414.89,122.05,207.44,61.03,5.99,0,0.0
PI,esperantina,4,4,4,414.66,154.8,103.66,38.7,15.68,0,0.0
RJ,travessao,4,4,5,414.09,96.34,103.52,24.09,14.24,0,0.0
ES,arace,4,4,4,413.4,77.78,103.35,19.45,86.41,3,75.0
MG,presidente olegario,6,5,6,412.91,144.5,68.82,24.08,12.01,0,0.0
PE,santa maria da boa vista,2,2,2,412.08,76.49,206.04,38.25,15.73,0,0.0
PR,alto piquiri,1,1,1,412.0,20.5,412.0,20.5,7.19,0,0.0
PR,astorga,7,6,7,411.77,144.51,58.82,20.64,10.46,0,0.0
ES,dores do rio preto,4,4,5,411.76,114.57,102.94,28.64,18.92,1,25.0
RS,sao jose do ouro,5,5,6,411.38,95.71,82.28,19.14,13.94,1,20.0
PI,bertolinia,1,1,1,411.0,72.87,411.0,72.87,20.31,0,0.0
PE,brejo da madre de deus,4,4,4,410.8,101.93,102.7,25.48,20.95,0,0.0
BA,lagoa real,1,1,1,410.0,49.92,410.0,49.92,12.93,0,0.0
MT,porto alegre do norte,1,1,1,410.0,35.32,410.0,35.32,21.72,0,0.0
AC,senador guiomard,2,2,3,409.98,137.11,204.99,68.56,13.8,0,0.0
BA,jucurucu,2,2,2,409.98,68.33,204.99,34.16,14.04,0,0.0
RS,aurea,2,2,2,409.5,42.0,204.75,21.0,11.07,0,0.0
MG,rodeiro,3,2,3,409.4,72.81,136.47,24.27,11.73,0,0.0
SC,mondai,2,2,3,409.0,49.31,204.5,24.66,11.47,0,0.0
SP,narandiba,2,2,2,408.98,27.68,204.49,13.84,11.25,0,0.0
SP,santa cruz da conceicao,4,3,4,408.9,67.37,102.22,16.84,11.99,1,25.0
MT,terra nova do norte,3,3,3,408.8,90.55,136.27,30.18,14.55,0,0.0
RN,portalegre,2,2,3,408.8,104.21,204.4,52.11,33.78,0,0.0
MG,martins soares,6,5,6,408.79,205.11,68.13,34.19,11.72,1,16.67
PR,japura,5,5,8,408.5,113.04,81.7,22.61,19.0,0,0.0
PA,bom jesus do tocantins,3,2,3,407.9,98.56,135.97,32.85,20.4,0,0.0
SP,joao ramalho,3,3,3,407.89,71.68,135.96,23.89,9.83,0,0.0
PR,capitao leonidas marques,5,5,6,407.78,104.31,81.56,20.86,11.12,0,0.0
BA,paramirim,5,5,7,407.68,147.79,81.54,29.56,21.41,1,20.0
ES,itaipava,4,4,5,406.84,113.18,101.71,28.3,13.51,0,0.0
MG,santo antonio do jacinto,7,7,9,406.59,166.89,58.08,23.84,15.83,1,14.29
SP,silveiras,3,3,5,406.5,67.75,135.5,22.58,10.05,0,0.0
RJ,glicerio,2,2,2,405.99,74.26,203.0,37.13,26.19,2,100.0
PA,capitao poco,3,3,3,405.38,135.51,135.13,45.17,35.35,0,0.0
GO,pontalina,2,1,2,405.0,83.72,202.5,41.86,13.28,0,0.0
BA,rodelas,3,3,3,404.9,59.85,134.97,19.95,15.74,0,0.0
ES,itaoca,2,2,2,404.9,92.3,202.45,46.15,24.65,2,100.0
RS,sao paulo das missoes,2,2,3,404.87,54.39,202.44,27.2,15.13,0,0.0
SP,panorama,5,5,5,404.39,70.25,80.88,14.05,14.47,0,0.0
PA,tucuma,3,3,3,404.25,180.98,134.75,60.33,35.47,1,33.33
RJ,werneck,2,2,2,403.89,41.72,201.94,20.86,22.84,1,50.0
MG,jacui,4,4,4,403.74,72.13,100.94,18.03,11.66,0,0.0
RO,nova brasilandia d'oeste,2,2,2,402.8,69.34,201.4,34.67,21.21,0,0.0
SC,lontras,3,3,3,402.5,53.09,134.17,17.7,15.06,0,0.0
MG,bom repouso,4,4,4,402.29,85.66,100.57,21.41,18.91,1,25.0
PR,general carneiro,5,5,5,401.48,97.04,80.3,19.41,20.26,1,20.0
SP,brauna,5,5,5,400.79,81.56,80.16,16.31,10.43,1,20.0
PE,ipubi,3,3,4,400.47,125.32,133.49,41.77,11.7,0,0.0
BA,sao sebastiao do passe,5,5,5,399.89,150.64,79.98,30.13,14.25,0,0.0
RS,mata,1,1,1,399.85,18.5,399.85,18.5,9.09,0,0.0
RO,sao miguel do guapore,4,3,5,399.44,222.79,99.86,55.7,21.53,0,0.0
BA,ibitira,1,1,1,399.0,22.03,399.0,22.03,22.76,0,0.0
PA,itupiranga,1,1,1,399.0,203.38,399.0,203.38,19.96,0,0.0
SP,embauba,1,1,1,399.0,15.81,399.0,15.81,4.7,0,0.0
RN,sao miguel do gostoso,2,2,2,398.9,74.14,199.45,37.07,33.42,1,50.0
PR,nova santa rosa,4,4,4,398.88,97.74,99.72,24.43,7.81,0,0.0
SP,riolandia,3,3,3,398.8,71.51,132.93,23.84,6.01,0,0.0
BA,ituacu,3,3,4,398.5,79.57,132.83,26.52,14.39,0,0.0
SP,clementina,4,4,4,397.54,75.44,99.39,18.86,10.64,0,0.0
RO,machadinho d'oeste,3,3,3,396.98,175.98,132.33,58.66,24.64,0,0.0
BA,candido sales,3,3,3,396.79,75.73,132.26,25.24,23.45,0,0.0
SP,elias fausto,5,5,6,396.4,85.08,79.28,17.02,12.85,1,20.0
RO,seringueiras,2,2,2,395.99,108.65,198.0,54.33,22.09,0,0.0
RS,erval grande,2,1,2,395.9,36.84,197.95,18.42,14.45,0,0.0
MA,capinzal do norte,2,2,2,395.0,65.6,197.5,32.8,109.08,2,100.0
BA,uaua,3,3,3,393.98,79.06,131.33,26.35,22.73,0,0.0
RS,santo antonio das missoes,4,4,5,393.89,101.43,98.47,25.36,10.54,0,0.0
MT,guaranta do norte,5,5,5,393.87,115.42,78.77,23.08,14.32,0,0.0
SC,balneario barra do sul,4,4,4,393.3,89.32,98.33,22.33,11.75,0,0.0
SC,balneario rincao,3,3,3,393.0,51.3,131.0,17.1,23.3,1,33.33
MG,piedade dos gerais,3,3,3,392.88,47.28,130.96,15.76,8.04,0,0.0
PA,cameta,4,4,4,392.8,129.05,98.2,32.26,23.31,0,0.0
PA,santana do araguaia,2,2,2,392.8,88.79,196.4,44.39,18.23,0,0.0
CE,jardim,2,2,2,392.65,80.79,196.32,40.39,17.18,0,0.0
MG,dom silverio,4,4,4,392.24,91.88,98.06,22.97,14.67,0,0.0
MG,chapada gaucha,4,4,4,391.69,136.32,97.92,34.08,20.08,1,25.0
PR,diamante do norte,5,5,6,391.25,124.02,78.25,24.8,11.51,0,0.0
BA,iraquara,5,5,6,390.8,119.83,78.16,23.97,20.53,0,0.0
PR,carambei,3,3,4,390.8,65.45,130.27,21.82,12.23,0,0.0
CE,amanari,1,1,1,390.0,29.39,390.0,29.39,23.07,0,0.0
SC,governador celso ramos,3,3,3,389.97,73.39,129.99,24.46,28.77,0,0.0
PR,alto parana,2,2,2,389.9,61.94,194.95,30.97,12.11,0,0.0
SP,tabatinga,5,5,5,389.69,97.42,77.94,19.48,11.89,0,0.0
MG,confins,1,1,1,389.0,55.25,389.0,55.25,19.9,0,0.0
CE,ipaporanga,2,2,2,388.9,64.91,194.45,32.45,32.52,1,50.0
MG,sao felix de minas,1,1,1,388.9,20.6,388.9,20.6,6.5,0,0.0
PB,pitimbu,1,1,1,388.9,66.21,388.9,66.21,11.36,0,0.0
SP,santa lucia,3,3,3,388.89,65.37,129.63,21.79,6.95,0,0.0
MG,ibiraci,3,3,3,388.8,54.68,129.6,18.23,10.2,0,0.0
MG,sao romao,5,5,6,388.49,135.57,77.7,27.11,10.52,0,0.0
GO,agua limpa,1,1,1,388.0,28.8,388.0,28.8,20.22,0,0.0
BA,piritiba,5,4,6,387.79,124.4,77.56,24.88,14.62,0,0.0
PR,florai,2,2,2,387.39,35.56,193.69,17.78,14.64,0,0.0
RS,nova bassano,4,4,5,387.24,84.53,96.81,21.13,13.47,0,0.0
MG,capitolio,5,5,11,386.89,203.23,77.38,40.65,8.74,0,0.0
MT,diamantino,7,4,7,386.49,140.93,55.21,20.13,13.4,0,0.0
BA,rio real,3,3,4,386.0,94.6,128.67,31.53,18.25,0,0.0
PR,guaraniacu,5,5,5,385.97,77.65,77.19,15.53,12.0,0,0.0
GO,campos verdes,1,1,1,385.6,27.44,385.6,27.44,12.43,0,0.0
AP,oiapoque,1,1,1,385.0,40.24,385.0,40.24,30.42,0,0.0
GO,vicentinopolis,2,2,2,384.8,35.75,192.4,17.88,17.22,0,0.0
MG,munhoz,4,4,5,384.67,92.45,96.17,23.11,11.98,0,0.0
MT,reserva do cabacal,2,2,2,383.9,56.98,191.95,28.49,18.66,0,0.0
PR,rio azul,5,5,5,383.7,154.84,76.74,30.97,14.28,0,0.0
MG,iapu,4,4,5,383.15,114.78,95.79,28.7,22.1,1,25.0
SC,ibiam,4,4,4,382.99,77.35,95.75,19.34,16.11,0,0.0
SE,propria,3,3,3,382.89,177.1,127.63,59.03,15.36,0,0.0
PR,ceu azul,7,7,7,382.56,142.73,54.65,20.39,14.76,1,14.29
RJ,rio claro,3,3,4,380.98,63.5,126.99,21.17,18.73,1,33.33
MS,nova alvorada do sul,3,3,6,380.85,96.03,126.95,32.01,17.39,1,33.33
MG,juruaia,6,5,6,380.78,89.81,63.46,14.97,14.23,0,0.0
MG,virgolandia,2,2,2,380.0,33.44,190.0,16.72,7.32,0,0.0
SP,irape,2,1,2,379.98,49.32,189.99,24.66,10.21,0,0.0
AL,anadia,2,2,2,379.89,82.71,189.94,41.36,14.17,0,0.0
CE,ipu,4,4,4,379.88,165.32,94.97,41.33,21.21,0,0.0
SC,balneario arroio do silva,4,4,4,379.88,70.79,94.97,17.7,20.27,0,0.0
BA,bonito,2,2,2,378.8,56.45,189.4,28.23,14.05,0,0.0
MG,manga,3,3,3,378.8,66.99,126.27,22.33,10.26,0,0.0
RS,tupancireta,4,3,6,378.77,90.74,94.69,22.68,19.14,1,25.0
AL,mata grande,2,2,3,378.65,90.7,189.33,45.35,20.59,0,0.0
MT,juara,5,5,6,378.49,124.46,75.7,24.89,17.86,0,0.0
MG,cruzilia,4,4,4,377.9,69.36,94.47,17.34,10.68,0,0.0
RN,apodi,3,3,3,377.89,114.18,125.96,38.06,40.36,2,66.67
SP,sud mennucci,5,5,5,377.87,70.14,75.57,14.03,7.76,0,0.0
SP,colombia,5,5,5,377.72,79.52,75.54,15.9,11.21,0,0.0
GO,joviania,5,4,5,376.97,95.14,75.39,19.03,17.56,0,0.0
MG,santo antonio do amparo,4,4,5,376.72,100.31,94.18,25.08,12.49,0,0.0
MA,cidelandia,1,1,4,375.96,152.84,375.96,152.84,23.16,0,0.0
RS,tucunduva,3,3,3,374.99,62.37,125.0,20.79,9.19,0,0.0
PE,passira,1,1,2,374.98,86.74,374.98,86.74,50.04,1,100.0
MG,chapada do norte,2,2,2,373.9,37.97,186.95,18.98,33.05,1,50.0
SP,adolfo,5,5,5,373.8,67.79,74.76,13.56,10.35,0,0.0
MG,campos altos,5,5,5,373.68,124.93,74.74,24.99,12.11,0,0.0
ES,itapemirim,4,4,4,372.7,86.64,93.17,21.66,15.29,1,25.0
MG,mendes pimentel,5,5,5,372.69,105.04,74.54,21.01,9.1,0,0.0
BA,amelia rodrigues,3,3,3,372.39,57.63,124.13,19.21,14.38,0,0.0
SP,valentim gentil,3,3,3,372.03,46.84,124.01,15.61,7.58,0,0.0
RS,cambara do sul,1,1,2,372.0,28.64,372.0,28.64,4.35,0,0.0
SC,aurora,2,2,3,371.9,53.57,185.95,26.79,14.06,0,0.0
BA,caldas do jorro,1,1,1,370.0,24.52,370.0,24.52,25.84,0,0.0
CE,aquiraz,1,1,1,370.0,28.85,370.0,28.85,17.16,0,0.0
TO,bandeirantes do tocantins,2,2,2,369.98,62.22,184.99,31.11,16.57,0,0.0
GO,indiara,4,3,5,369.91,79.56,92.48,19.89,17.03,0,0.0
BA,antonio cardoso,2,2,2,369.89,70.03,184.94,35.02,22.27,0,0.0
BA,remanso,5,5,5,369.69,118.3,73.94,23.66,18.25,1,20.0
CE,altaneira,2,2,4,369.6,126.66,184.8,63.33,15.49,0,0.0
MG,pingo-d'agua,1,1,1,369.48,43.54,369.48,43.54,7.83,0,0.0
PE,inaja,2,2,2,369.4,62.93,184.7,31.46,14.59,0,0.0
PR,centenario do sul,4,4,4,369.13,96.22,92.28,24.05,17.88,0,0.0
PR,quitandinha,2,2,2,368.9,36.19,184.45,18.09,5.23,0,0.0
SP,pindorama,2,2,2,368.9,36.62,184.45,18.31,8.46,0,0.0
AL,paulo jacinto,2,2,2,368.89,106.69,184.44,53.34,14.34,0,0.0
BA,itambe,3,3,3,368.6,110.16,122.87,36.72,32.78,2,66.67
TO,conceicao do tocantins,3,3,3,367.97,66.0,122.66,22.0,21.48,0,0.0
CE,aurora,3,3,3,367.69,77.01,122.56,25.67,17.83,0,0.0
MG,santa rita de minas,3,3,3,367.67,61.1,122.56,20.37,15.63,0,0.0
MG,francisco badaro,3,3,4,367.46,68.35,122.49,22.78,12.35,0,0.0
PE,canhotinho,2,2,2,367.0,63.49,183.5,31.74,23.24,0,0.0
ES,agua doce do norte,4,4,5,365.48,98.04,91.37,24.51,12.09,0,0.0
MG,guidoval,2,2,2,364.9,35.21,182.45,17.61,19.04,1,50.0
PR,santa tereza do oeste,3,3,3,364.9,55.69,121.63,18.56,9.99,0,0.0
SC,rio do oeste,3,3,3,364.89,68.95,121.63,22.98,16.21,0,0.0
RJ,santanesia,4,4,4,364.5,75.08,91.13,18.77,18.3,0,0.0
MG,itau de minas,5,5,5,364.45,95.58,72.89,19.12,12.91,0,0.0
RN,acari,1,1,1,364.0,48.43,364.0,48.43,12.87,0,0.0
ES,pedro canario,5,5,5,363.79,112.76,72.76,22.55,18.42,1,20.0
PR,japira,3,3,5,363.79,88.15,121.26,29.38,12.69,0,0.0
MG,itinga,3,3,4,363.5,71.17,121.17,23.72,14.83,0,0.0
RS,maximiliano de almeida,3,3,3,363.49,59.06,121.16,19.69,10.37,0,0.0
MG,madre de deus de minas,3,3,3,362.96,59.15,120.99,19.72,16.09,0,0.0
MG,santa margarida,2,2,2,362.9,37.45,181.45,18.73,14.59,0,0.0
PE,camocim de sao felix,2,2,3,362.9,56.12,181.45,28.06,10.61,0,0.0
MG,piedade do rio grande,3,3,4,362.78,104.12,120.93,34.71,17.77,0,0.0
PR,maripa,3,3,4,361.97,70.76,120.66,23.59,16.3,0,0.0
MA,barreirinhas,4,4,4,361.42,129.31,90.36,32.33,16.18,0,0.0
PR,reboucas,6,6,7,361.27,132.11,60.21,22.02,11.31,0,0.0
AL,junqueiro,2,2,2,360.89,103.52,180.44,51.76,15.52,0,0.0
PR,candido de abreu,4,4,5,360.8,79.12,90.2,19.78,15.43,0,0.0
BA,ponto novo,1,1,2,360.0,17.0,360.0,17.0,32.18,0,0.0
RO,alvorada d'oeste,1,1,2,359.98,70.12,359.98,70.12,41.09,0,0.0
MG,sao joao batista do gloria,3,3,3,359.6,77.23,119.87,25.74,12.07,0,0.0
CE,chorozinho,1,1,1,359.0,39.42,359.0,39.42,14.03,0,0.0
MG,abadia dos dourados,3,3,3,358.9,54.6,119.63,18.2,11.86,0,0.0
MG,taquaracu de minas,2,2,2,358.0,34.66,179.0,17.33,19.14,1,50.0
SP,alvaro de carvalho,2,2,2,358.0,41.0,179.0,20.5,9.01,0,0.0
PE,afranio,2,2,2,357.9,90.14,178.95,45.07,16.05,0,0.0
SP,ribeirao do sul,3,3,4,357.9,57.55,119.3,19.18,6.08,0,0.0
MT,peixoto de azevedo,4,4,4,357.7,133.86,89.42,33.46,15.3,0,0.0
BA,morpara,2,2,2,357.12,36.61,178.56,18.3,10.62,0,0.0
MG,goncalves,3,3,4,356.9,48.17,118.97,16.06,14.29,0,0.0
SP,indiapora,3,3,3,356.67,47.47,118.89,15.82,8.79,0,0.0
SP,sales,5,5,5,356.52,76.6,71.3,15.32,10.4,0,0.0
BA,caravelas,3,3,3,356.4,110.38,118.8,36.79,14.89,0,0.0
PR,tapejara,2,2,2,355.9,37.34,177.95,18.67,11.25,0,0.0
TO,taguatinga,3,3,3,355.79,98.66,118.6,32.89,21.15,0,0.0
SC,tangara,1,1,1,354.9,18.92,354.9,18.92,19.4,0,0.0
RS,jari,4,2,4,354.8,66.41,88.7,16.6,13.06,0,0.0
RS,redentora,3,2,3,354.59,94.75,118.2,31.58,15.76,0,0.0
SP,florida paulista,4,4,4,353.79,62.74,88.45,15.69,9.38,0,0.0
PR,planalto,4,4,4,353.7,85.33,88.42,21.33,15.42,0,0.0
SP,quintana,4,4,4,353.0,82.85,88.25,20.71,44.28,1,25.0
CE,sucesso,3,3,3,352.9,133.02,117.63,44.34,25.6,0,0.0
PA,rio maria,3,1,3,352.88,82.69,117.63,27.56,21.74,0,0.0
ES,fundao,4,4,4,352.8,84.53,88.2,21.13,9.22,0,0.0
GO,caiaponia,4,4,4,352.78,76.19,88.2,19.05,11.48,0,0.0
PR,sao jorge do ivai,1,1,2,352.52,43.44,352.52,43.44,27.8,0,0.0
MG,montalvania,3,3,4,352.2,70.23,117.4,23.41,16.87,0,0.0
RS,capela de santana,2,2,2,352.0,65.53,176.0,32.77,12.21,0,0.0
SP,itapura,6,6,6,351.87,74.73,58.65,12.46,8.32,0,0.0
MG,serra dos aimores,5,5,5,351.82,91.26,70.36,18.25,10.41,0,0.0
SP,tres fronteiras,5,5,5,350.39,74.86,70.08,14.97,9.46,0,0.0
BA,ibipitanga,2,2,2,349.98,46.74,174.99,23.37,13.28,0,0.0
AL,marechal deodoro,1,1,1,349.9,29.3,349.9,29.3,19.77,0,0.0
AL,paripueira,1,1,1,349.9,29.3,349.9,29.3,26.67,0,0.0
MA,bequimao,1,1,1,349.9,36.25,349.9,36.25,13.36,0,0.0
RS,boa vista das missoes,1,1,1,349.9,17.66,349.9,17.66,9.73,0,0.0
TO,natividade,1,1,1,349.9,85.37,349.9,85.37,10.94,0,0.0
RJ,governador portela,4,4,4,349.8,80.21,87.45,20.05,9.43,0,0.0
CE,arneiroz,2,2,4,349.6,112.93,174.8,56.46,30.46,1,50.0
MG,sao joao do paraiso,4,4,4,349.5,99.93,87.38,24.98,9.71,0,0.0
SP,taciba,2,2,2,348.98,70.62,174.49,35.31,15.15,0,0.0
